Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Work Ratio,Security Level,Outward issue link (Blocks),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Customer Request Type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Final Effort Assessment),Custom field (Fugue CLI Version),Custom field (Impact),Custom field (Luminal Team),Custom field (Organizations),Custom field (Parent Link),Custom field (Raised During),Custom field (Rank),Custom field (Request participants),Satisfaction rating,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Status),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
pull support-tool into Fugue CLI,FUGUE-3386,23840,,Story,In Progress,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,scott,alex,alex,06/Oct/16 11:48 AM,09/May/17 10:47 AM,09/May/17 6:48 PM,,,,,,0,,,,,"There's a lot of overlap between the support tool and the CLI. Additionally, its not a great experience if you're using the cli and run into an issue and have to go get the support tool. We should just make the support commands be part of the CLI.",,alex,rob,scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,FUGUE-3040,,,,,,CloudOS Team,,,,2|hzytuu:000000r0000000011zzzzzxi,,,Sprint 29,,,,,5.0,,,Not started,2017-04-03 11:57:37.957,"03/Apr/17 11:57 AM;rob;Documentation work will need to get done, but hopefully not much","05/May/17 9:40 AM;scott;Have to work on higher priority things, so leaving the work here.

All code has been moved over, directory structure flattened,  reorg and consolidation in a few places.

https://github.com/LuminalHQ/fugue-cli-python/compare/feature/FUGUE-3386/support-tools

Remaining things:
- Unit tests work, but coverage is light.
- Two unit tests for the {{report}} command need to be fixed; they are marked 'skip' for now. 
- The {{debug}} command might be fixed but don't have time to test further.
-- Has problems starting Vars on my LT; could be an environmental issue
- The {{reset-secret}} cmd hasn't been tested",,,,,,,,,,,,,,
User has a tool to automatically generate Compositions,FUGUE-3497,24053,,Story,Done,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,robertds,stephen,stephen,14/Oct/16 2:28 PM,01/May/17 9:31 AM,09/May/17 6:48 PM,,,r27,,,0,EndOf28,Sprint26Spillover,Sprint27,Sprint27Spillover,"As a user, I have a tool that returns one Ludwig file that accurately represents the resources currently running in my account.

Acceptance Criteria

1. The tool shall be able to omit resources that are being managed by a Fugue conductor .
2. All resources that can be created and managed by Fugue shall be returned in the auto-generated composition.

",,rob,stephen,timw,,,,,,,,,PDOC-517,,,,,,,,,,,,,,,,,,,{},,FUGUE-3486,,,0.0,,,LRT Team,,,,2|i003kn:3,,,Sprint 25,Sprint 26,Sprint 27,Sprint 28,Sprint 29,,,,Not started,2016-12-23 12:20:06.668,23/Dec/16 12:20 PM;timw;@nate and team to cut subtasks for each AWS service. ,14/Apr/17 5:31 PM;rob;Moved back to ready for QA since Erez is still working on Fugue-4203,,,,,,,,,,,,,,
generate IAM policy for admin and user policies at install-time,FUGUE-3634,24633,,Story,In Progress,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,wayne,alex,alex,25/Oct/16 3:46 PM,03/May/17 3:31 PM,09/May/17 6:48 PM,,2017.01.13,,,,0,Sprint28,,,,"As a user of Fugue I have minimum IAM policies for admin and non admin users so that I don't have to determine what the minimum IAM policies that I will need to use with the RBAC feature.

When fugue is installed, we generate an IAM policy that has ""admin"" access, and one that has ""user"" access and register them with IAM as managed policies.

Acceptance criteria:

* The IAM policy generated for non-admin RBAC users should not allow them elevate their IAM credentials to circumvent the RBAC feature. 
** non-admin RBAC users are users that can't install, uninstall, or upgrade the conductor

We can probably manage these policies in the CFn policy that we use for install/upgrade so that we get ""upgrade"" support for free, uninstall, etc.",,alex,dom,eric,stephen,,,,,,,,PDOC-522,,,,,,,,,,,,,,,,,,,{},,,,,,,,CloudOS Team,,,,2|hzytuu:000000r0000000011zzzzzx9,,,Sprint 23,Sprint 24,Sprint 25,Sprint 26,Sprint 29,5.0,,,Not started,2016-10-25 16:16:57.976,25/Oct/16 4:16 PM;dom;Relevant: https://github.com/LuminalHQ/fugue-user-iam-templates,"15/Dec/16 12:11 PM;eric;Im not sure if it possible to have an ""admin"" role that can install, upgrade, and delete the conductor while not being able to circumvent RBAC at the moment. The examples provided above look like exactly what we need to define and administrator, but it includes the permission to iam:CreateRole. With that could a user create a role with any level of permissions and then allow themselves to assume that role? If so, then the user could give themselves the ability to remove s3 bucket policies which would open up rbac users and policies for editing.","16/Dec/16 10:41 AM;dom;Updated link: https://github.com/fugue/fugue-user-iam-templates

*FYI:* Since 25 Oct, we have manually tested these and published them (customers were asking for them). They're extremely hard to produce and test. I hope you make something better, but it's a lot of log parsing I'll tell you.

- If these meet your needs, please adopt, maintain & test with each release.
- If these don't meet your needs, please let us know ASAP so we can update with whatever you come up with.","20/Feb/17 1:05 PM;eric;My preferred implementation would be to add these policies to the conductors cloudformation template. This should give us a good path for install, updates, and uninstalls. Although I would need to take some time to test out how iam policies work in cloudformation and make sure there is a happy path for making updates during conductor upgrades.

If using cloudformation for managing these iam policies ends up being impractical we'll have to build in managing them directly in to the cli by making iam api calls directly..","03/Apr/17 10:59 AM;dom;[~eric] I agree with making them part of ""batteries included."" That said I would ask folks to consider keeping the policy JSON itself in a public repo so that they can still be inspected and accessed easily.",,,,,,,,,,,
[QA] Validate that the stipulated IAM roles are created upon executing an install,FUGUE-3866,25891,24633,QA-Validation,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,erez,erez,erez,21/Nov/16 2:28 PM,18/Jan/17 11:44 AM,09/May/17 6:48 PM,,,,,,0,,,,,Try being each one of these roles and make sure the corresponding fugue commands can/can't be executed.,,erez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,QA Team,,,,2|hzyuw7:,,,Sprint 23,Sprint 24,Sprint 25,Sprint 26,Sprint 29,,,,Not started,,,,,,,,,,,,,,,,,
BUGFIX: update_assume_role_policy instructions are issued every tick,FUGUE-4196,27629,,Task,PR Merged,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,tyler,chrisg,chrisg,23/Dec/16 1:44 PM,05/May/17 12:06 PM,09/May/17 6:48 PM,,,,,,0,,,,,"Conductor: ami-1921360e

Running the following composition will result in an {{update_assume_role_policy}} instruction being issued every tick:

{code}
composition

import Fugue.AWS.IAM as IAM

lambda-role: IAM.Role {
  roleName: 'bug-update-every-tick',
  assumeRolePolicyDocument: IAM.Policy.AssumeRole.lambda,
}
{code}

This appears to be due to IAM returning the assume role policy in a slightly different format than it was created with (it transforms {{Statement}} to a list, and adds an empty {{Sid}}), so when the planner compares the policy in the composition with the policy returned by AWS it thinks they're different and issues the instruction to update it.

This isn't a problem for accounts with few roles, but it would be possible to run into API throttling issues if you had a large number of roles managed by fugue.

Our other policy implementations may be susceptible to a similar problem.",,chrisg,tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,LRT Team,,,,2|i003kq:6hv9,,,Sprint 29,,,,,5.0,,,Not started,2017-05-03 11:15:45.748,"27/Feb/17 12:24 PM;chrisg;As an example of this, consider the following composition:

{code}
composition

import Fugue.AWS.IAM as IAM

lambda-role: IAM.Role {
  roleName: 'bug-update-every-tick',
  assumeRolePolicyDocument: IAM.Policy.AssumeRole.lambda,
}
{code}

Here is the assume role policy document defined by {{IAM.Policy.AssumeRole.lambda}}:

{code}
{
  ""Version"": ""2012-10-17"",
  ""Statement"": {
    ""Effect"": ""Allow"",
    ""Principal"": {
      ""Service"": [""lambda.amazonaws.com""]
    },
    ""Action"": ""sts:AssumeRole""
  }
}
{code}

and here is what's returned from the describe-role API call (as executed via {{aws iam get-role}}):

{noformat}
$ aws iam get-role --role-name bug-update-every-tick
{
    ""Role"": {
        ""AssumeRolePolicyDocument"": {
            ""Version"": ""2012-10-17"",
            ""Statement"": [
                {
                    ""Action"": ""sts:AssumeRole"",
                    ""Effect"": ""Allow"",
                    ""Principal"": {
                        ""Service"": ""lambda.amazonaws.com""
                    }
                }
            ]
        },
        ""RoleId"": ""AROAJZD3MON5AJD2Y5CDW"",
        ""CreateDate"": ""2017-02-27T16:34:11Z"",
        ""RoleName"": ""bug-update-every-tick"",
        ""Path"": ""/"",
        ""Arn"": ""arn:aws:iam::235986320834:role/bug-update-every-tick""
    }
}
{noformat}

We can make things a bit easier on ourselves by converting the policies provided in {{Fugue.AWS.IAM.Policy.AssumRole}} to be in the format returned by the describe calls, but to fix this for all cases we'll need to canonicallize the IAM coming out of the Ludwig before comparing it with the results from IAM.

This can be done with a custom {{UnmarshallJSON}} implementation that parses policies in both formats into a common type. This will most likely look something like:

{code}
type Policy struct {
        Version string
        Id string
        Statement []Statement{}
}

type SingleStatementPolicy struct {
        Version string
        Id string
        Statement Statement
}

type Statement struct {
  ...
}

func (p *Policy) UnmarshallJSON(b []byte) error {
        var singleStatementPolicy SingleStatementPolicy
        err := json.UnmarshallJSON(b, &singleStatementPolicy)
        if err == nil {
                p.Version = singleStatementPolicy.Version
                p.Statement = []Statement{singleStatementPolicy.Statement}
                return nil
        }

        var policy Policy
        err := json.UnmarshallJSON(b, p)
        if err == nil {
                return nil
        }
        return err        
}
{code}

Then we unmarshall policies in either format and compare them correctly. There's a bit of trickiness around {{Statement}} parsing, but I think that can be sorted out using the [docs|docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_elements.html].


Given some of the variants in IAM policy (especially around principals), I'm going to estimate this as a 5. Which should ensure that there is plenty of time for testing the parser and comparison code.
","16/Mar/17 6:32 PM;chrisg;[~danthemyth] reported running into this with {{aws.autoscaling.update_auto_scaling_group}} operations as well:

{quote}
dan [17:40] 
small bug that I’ll put in a ticket for tomorrow morning re aws.autoscaling.update_auto_scaling_group where planner is issuing repeated instructions due to the policy comparision evaluating to false
Planner Instruction:
`{""Statement"": {""Principal"": {""Service"": [""ec2.amazonaws.com""] }, ""Action"": ""sts:AssumeRole"", ""Effect"": ""Allow""}, ""Version"": ""2012-10-17""}`
Reflector state:
`{""Statement"": [{""Principal"": {""Service"": ""ec2.amazonaws.com""}, ""Action"": ""sts:AssumeRole"", ""Effect"": ""Allow""}], ""Version"": ""2012-10-17""}`
{quote}",06/Apr/17 4:10 PM;chrisg;I think the existing estimate of a 5 is still valid here for Sprint 28.,03/May/17 11:15 AM;tyler;https://github.com/LuminalHQ/emitInstructions-go/pull/503,,,,,,,,,,,,
[QA] Validate ludwig auto-gen tool,FUGUE-4203,27636,24053,QA-Validation,Will Not Fix,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,erez,erez,erez,23/Dec/16 2:21 PM,20/Apr/17 9:43 AM,09/May/17 6:48 PM,,,,,,0,,,,,"0) Test that the generated ludwig represents all current assets in the account
1) Run fugue assets and validate that fugue assets are omitted (presumably includes fugue resources related to the operation of the conductor)",,erez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,QA Team,,,,2|hzzwlj:,,,Sprint 25,Sprint 26,Sprint 27,Sprint 28,Sprint 29,,,,Not started,,,,,,,,,,,,,,,,,
Separate Fugue credentials file.,FUGUE-4390,28402,,Story,PR Merged,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,matt,alex,alex,12/Jan/17 10:29 AM,08/May/17 4:24 PM,09/May/17 6:48 PM,,,,,,0,sprint29,,,,"As a user of Fugue, I have a specific Fugue credentials file separate from my fugue.yaml file so that I can easily share my fugue.yaml, (check into git etc) without worrying about passing around my sensitive fugue credentials. 
",,alex,eric,,,,,,,,,,PDOC-519,,,,,,,,,,,,,,,,,,,{},,,,,,,,CloudOS Team,,,,2|hzytuu:000000r0000000011zzzzzx,,,Sprint 29,,,,,3.0,,,Not started,2017-02-02 12:23:40.918,"02/Feb/17 12:23 PM;eric;Id recommend sticking with aws' strategy by making a credentials file in an app data directory ie: ~/.fugue %APPDATA%\fugue

I think keeping secrets unencrypted in the credential file is ok to start with. Again, following aws' lead here is a safe bet, but in the future we may want to consider adding support for either os specific password/keystores or creating our own to securely encrypt secrets to a users disk.

Estimate: 3",,,,,,,,,,,,,,,
Profiles for fugue credentials,FUGUE-4391,28404,,Story,PR Merged,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,matt,alex,alex,12/Jan/17 10:31 AM,08/May/17 4:24 PM,09/May/17 6:48 PM,,,,,,1,sprint29,,,,"As a user, I might have multiple fugue users that I want to switch between. Rather than comment out creds, or have multiple files, we should have a profile-like system where you can pick which profile to use on a per-command basis (with a default)",,alex,eric,nate,,,,,,,,,PDOC-520,,,,,,,,,,,,,,,,,,,{},,,,,,,,CloudOS Team,,,,2|hzytuu:000000r0000000011zzzzzt,,,Sprint 29,,,,,3.0,,,Not started,2017-01-17 14:32:03.961,"17/Jan/17 2:32 PM;nate;Proposed name: ""fudo""","02/Feb/17 12:20 PM;eric;here's where we ask the question. Is it time to create an app data folder for fugue? ie: ~/.fugue %APPDATA%\fugue 

Being that we have a the case FUGUE-4390 my guess is that the answer is yes. I'd recommend creating an ini file pretty much identical to how the aws creds file works and have sections identified by ""profile"" name. Updating the cli to read from a creds file and selecting a specific profile from that file is a trivial task being that we already keep creds in a different file.

Estimate: 3",,,,,,,,,,,,,,
cli can look up valid AMI IDs,FUGUE-4490,28723,,Story,Done,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,matt,alex,alex,19/Jan/17 10:11 AM,01/May/17 9:47 AM,09/May/17 6:48 PM,,,,,,1,EndOf28,,,,"Right now, the cli cant tell the difference between AMIs that are not whitelisted and AMIs that are invalid. We should have an AMI registry where the CLI can look up valid AMI IDs.",,achintya,alex,erez,evan,matt,rob,wayne,,,,,PDOC-526,,,,,,,,,,,,,,,,,,,{},,FUGUE-5036,,,5.0,,,CloudOS Team,,,,2|hzytuu:000000r000000000vm,,,Sprint 28,Sprint 29,,,,3.0,,,Not started,2017-02-02 13:03:40.189,02/Feb/17 1:03 PM;achintya;Blocked on https://luminal.atlassian.net/browse/WEB-843 ,"20/Feb/17 12:42 PM;erez;should this feature also show which CLI version would be compatible for each conductor?
",24/Feb/17 4:05 PM;wayne;Please follow up with the web team and make a comment wrt status on this ticket.,09/Mar/17 10:18 AM;achintya;This ticket can be marked as TODO since https://luminal.atlassian.net/browse/WEB-843 is done,31/Mar/17 10:37 AM;achintya;We need this list to contain the list of already valid AMIs too. So we'd have to add to this list all the AMIs which we released before this list comes into force.,03/Apr/17 11:16 AM;rob;Need to add an environmental variable for our internal needs to get around this. (or maybe just use what's in FUGUE YAML? That's probably better),01/May/17 9:47 AM;matt;fugue-client: 0.32.1,,,,,,,,,
Have the CLI read and parse the conductor AMI list from S3,FUGUE-4492,28725,28723,Sub-task,Done,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,matt,alex,alex,19/Jan/17 10:14 AM,01/May/17 9:49 AM,09/May/17 6:48 PM,,,,,,0,,,,,,,alex,jonathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,2|i0003b:,,,Sprint 28,Sprint 29,,,,,,,Not started,2017-01-19 10:26:36.032,19/Jan/17 10:26 AM;jonathan;Just wanted to point out that there is probably already an API that you could consider using as well that's part of the download services and if not maybe something to consider if using a file in s3 makes tracking users more difficult or something. ,,,,,,,,,,,,,,,
